,signage_id,day,name,address,state,popular_time,weekend
30,1204,Wednesday,TMpoint Setapak,"Persiaran Kuantan,Titiwangsa,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur",Wilayah Persekutuan Kuala Lumpur,722,0.0
31,1204,Friday,TMpoint Setapak,"Persiaran Kuantan,Titiwangsa,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur",Wilayah Persekutuan Kuala Lumpur,714,0.0
32,1204,Tuesday,TMpoint Setapak,"Persiaran Kuantan,Titiwangsa,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur",Wilayah Persekutuan Kuala Lumpur,692,0.0
33,1204,Sunday,TMpoint Setapak,"Persiaran Kuantan,Titiwangsa,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur",Wilayah Persekutuan Kuala Lumpur,0,1.0
34,1204,Saturday,TMpoint Setapak,"Persiaran Kuantan,Titiwangsa,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur",Wilayah Persekutuan Kuala Lumpur,0,1.0
35,1205,Monday,TMpoint Kepong,"Jalan Kepong Lama,Kampung Batu Delima,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur",Wilayah Persekutuan Kuala Lumpur,740,0.0
36,1205,Friday,TMpoint Kepong,"Jalan Kepong Lama,Kampung Batu Delima,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur",Wilayah Persekutuan Kuala Lumpur,712,0.0
37,1205,Thursday,TMpoint Kepong,"Jalan Kepong Lama,Kampung Batu Delima,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur",Wilayah Persekutuan Kuala Lumpur,606,0.0
38,1205,Wednesday,TMpoint Kepong,"Jalan Kepong Lama,Kampung Batu Delima,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur",Wilayah Persekutuan Kuala Lumpur,601,0.0
39,1205,Tuesday,TMpoint Kepong,"Jalan Kepong Lama,Kampung Batu Delima,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur",Wilayah Persekutuan Kuala Lumpur,541,0.0
40,1205,Saturday,TMpoint Kepong,"Jalan Kepong Lama,Kampung Batu Delima,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur",Wilayah Persekutuan Kuala Lumpur,314,1.0
41,1205,Sunday,TMpoint Kepong,"Jalan Kepong Lama,Kampung Batu Delima,Kuala Lumpur,Wilayah Persekutuan Kuala Lumpur",Wilayah Persekutuan Kuala Lumpur,0,1.0
